Files	Genotype	State	Treatment	Replicate	Sample	Group
1	FIDH1800_S30	8008	Tillering	Drought	1	8T_D_1	8_T_D
2	FIDH28000_S31	8008	Tillering	Drought	2	8T_D_2	8_T_D
3	FIDH38000_S32	8008	Tillering	Drought	3	8T_D_3	8_T_D
4	F28C1_S9	8008	Maturation	Watered	1	8M_W_1	8_M_W
5	F28C2_S10	8008	Maturation	Watered	2	8M_W_2	8_M_W
6	F28C3_S11	8008	Maturation	Watered	3	8M_W_3	8_M_W
