GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0044267,cellular protein metabolic process,11,2,0.18,0.010,0.036
GO:0000226,microtubule cytoskeleton organization,1,1,0.02,0.016,0.036
GO:0007017,microtubule-based process,1,1,0.02,0.016,0.036
GO:0019538,protein metabolic process,14,2,0.22,0.016,0.036
GO:1901564,organonitrogen compound metabolic proces...,16,2,0.25,0.021,0.0378
GO:0006891,intra-Golgi vesicle-mediated transport,2,1,0.03,0.032,0.0411
GO:0071596,ubiquitin-dependent protein catabolic pr...,2,1,0.03,0.032,0.0411
GO:0010498,proteasomal protein catabolic process,3,1,0.05,0.047,0.047
GO:0043161,proteasome-mediated ubiquitin-dependent ...,3,1,0.05,0.047,0.047
