GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0043226,organelle,124,61,52.08,0.015,0.036
GO:0005654,nucleoplasm,12,9,5.04,0.019,0.036
GO:0043229,intracellular organelle,116,57,48.72,0.023,0.036
GO:0005622,intracellular,141,67,59.22,0.030,0.036
GO:0030135,coated vesicle,4,4,1.68,0.030,0.036
GO:0043227,membrane-bounded organelle,111,54,46.62,0.038,0.038
