Files	Genotype	State	Treatment	Replicate	Sample	Group
1	21DH8_S24	8008	Maturation	Drought	1	8M_D_1	8_M_D
2	22DH8_S25	8008	Maturation	Drought	2	8M_D_2	8_M_D
3	23DH8_S26	8008	Maturation	Drought	3	8M_D_3	8_M_D
4	F28C1_S9	8008	Maturation	Watered	1	8M_W_1	8_M_W
5	F28C2_S10	8008	Maturation	Watered	2	8M_W_2	8_M_W
6	F28C3_S11	8008	Maturation	Watered	3	8M_W_3	8_M_W
