Names	total	elements
		CP74-2005_k31_TRINITY_DN3497_c0_g1_i3.gen
		RB72454_k31_TRINITY_DN12430_c0_g4_i3.gen
		B1_k25_TRINITY_DN17605_c0_g2_i1.gen
		KQB08-32953_k25_TRINITY_DN2013_c0_g1_i1.gen
		KQB09-20620_k25_TRINITY_DN2307_c0_g1_i11.gen
		QA96-1749_k25_TRINITY_DN1333_c0_g1_i10.gen
		F1-Bulk-1_k25_TRINITY_DN14892_c0_g1_i7.gen
		MS6847_k25_TRINITY_DN6176_c0_g1_i2.gen
		KQB07-23990_k25_TRINITY_DN13349_c3_g1_i1.gen
		GT96-167_k31_TRINITY_DN38742_c0_g1_i1.gen
		CP74-2005_k25_TRINITY_DN8600_c0_g2_i2.gen
		B2_k25_TRINITY_DN6472_c0_g1_i1.gen
		GXU-34176_k31_TRINITY_DN5835_c0_g1_i5.gen
		KQB07-23863_k25_TRINITY_DN3304_c0_g1_i13.gen
		KQB07-23990_k31_TRINITY_DN371_c0_g1_i10.gen
		SP80-3280_Mattielo_SP803280_c117888_g1_i3.gen
		LCP85-384_k31_TRINITY_DN4178_c0_g1_i12.gen
		CoV92102_k25_TRINITY_DN25079_c0_g1_i8.gen
		GUC2_k25_TRINITY_DN71933_c0_g1_i1.gen
		KQB09-20620_k25_TRINITY_DN806_c0_g1_i4.gen
		KQB07-24739_k31_TRINITY_DN7153_c0_g1_i1.gen
		Co06022_k25_TRINITY_DN51079_c0_g1_i2.gen
		QN05-1509_k31_TRINITY_DN4032_c0_g1_i11.gen
		GXU-34176_k31_TRINITY_DN50280_c0_g1_i1.gen
		MT11-610_k31_TRINITY_DN1487_c0_g1_i5.gen
		QS99-2014_k31_TRINITY_DN1899_c0_g1_i2.gen
		T2_k25_TRINITY_DN5753_c0_g1_i1.gen
		RB72454_k31_TRINITY_DN27916_c0_g1_i2.gen
		CC011940_Sobic.003G195900.1.mrna1.gen
		KQB07-24619_k31_TRINITY_DN4378_c0_g1_i22.gen
		MT11-610_k31_TRINITY_DN12101_c0_g1_i28.gen
		TUC717_k25_TRINITY_DN8326_c0_g1_i4.gen
		GUC10_k31_TRINITY_DN15087_c0_g1_i1.gen
		QBYN04-26041_k31_TRINITY_DN7361_c0_g1_i17.gen
		QN05-1743_k31_TRINITY_DN5958_c0_g1_i3.gen
		CC011940_Sobic.006G219600.3.mrna1.gen
		LCP85-384_k31_TRINITY_DN27672_c0_g1_i3.gen
		QN05-1460_k31_TRINITY_DN1366_c0_g1_i6.gen
		F1-Bulk-1_k31_TRINITY_DN3720_c0_g1_i3.gen
		F1-Bulk-2_k25_TRINITY_DN113651_c0_g1_i1.gen
		QA02-1009_k31_TRINITY_DN1833_c0_g1_i5.gen
		Co8021_k31_TRINITY_DN10750_c0_g1_i3.gen
		MS6847_k31_TRINITY_DN3860_c0_g1_i13.gen
		F1-Bulk-1_k25_TRINITY_DN19667_c1_g1_i1.gen
		GUC2_k25_TRINITY_DN46046_c0_g1_i1.gen
		LCP85-384_k31_TRINITY_DN2451_c0_g1_i12.gen
		QN05-803_k25_TRINITY_DN2012_c0_g1_i15.gen
		CC011940_cc_00026238-RA.gen
		GT96-167_k25_TRINITY_DN4589_c0_g1_i5.gen
		R570_ASM_Sh09_p001260.gen
		SP80-3280_Mattielo_SP803280_c105065_g1_i5.gen
		T1_k31_TRINITY_DN14031_c0_g2_i2.gen
		F1-Bulk-1_k31_TRINITY_DN8572_c0_g1_i6.gen
		QA02-1009_k31_TRINITY_DN3571_c0_g1_i14.gen
		CC011940_cc_00001922-RA.gen
		LCP85-384_k31_TRINITY_DN14894_c0_g1_i11.gen
		CoV92102_k25_TRINITY_DN5238_c1_g1_i1.gen
