Files	Genotype	State	Treatment	Replicate	Sample	Group
1	FIDH15000_S27	5000	Tillering	Drought	1	5T_D_1	5_T_D
2	FIDH1800_S30	8008	Tillering	Drought	1	8T_D_1	8_T_D
3	FIDH25000_S28	5000	Tillering	Drought	2	5T_D_2	5_T_D
4	FIDH28000_S31	8008	Tillering	Drought	2	8T_D_2	8_T_D
5	FIDH35000_S29	5000	Tillering	Drought	3	5T_D_3	5_T_D
6	FIDH38000_S32	8008	Tillering	Drought	3	8T_D_3	8_T_D
