KQB07-24739_k31_TRINITY_DN631_c0_g1_i10,Sobic.010G039200.1,NA,Zm00001d045340_T007
MS6847_k25_TRINITY_DN3594_c0_g1_i29,Sobic.001G426800.2,NA,Zm00001d047847_T008
KQB07-24739_k31_TRINITY_DN631_c0_g1_i11,Sobic.010G039200.1,NA,Zm00001d045340_T007
F1-Bulk-1_k25_TRINITY_DN2542_c0_g2_i3,Sobic.004G339500.2,NA,Zm00001d049888_T003
KQ08-2850_k25_TRINITY_DN1894_c0_g1_i23,Sobic.006G204900.1,NA,Zm00001d002418_T001
QS99-2014_k25_TRINITY_DN1851_c0_g1_i2,Sobic.007G063200.2,NA,Zm00001d024230_T001
QBYN04-26041_k31_TRINITY_DN19129_c1_g1_i11,Sobic.001G222500.2,NA,Zm00001d032735_T001
LCP85-384_k25_TRINITY_DN3381_c1_g2_i2,Sobic.004G284400.1,NA,Zm00001d017575_T001
QA02-1009_k31_TRINITY_DN941_c0_g1_i6,Sobic.005G087900.7,NA,Zm00001d048988_T019
KQB07-24739_k31_TRINITY_DN7668_c0_g2_i2,Sobic.006G177400.1,NA,Zm00001d002680_T006
KQB08-32953_k25_TRINITY_DN983_c0_g1_i10,Sobic.010G188400.2,AT1G67800.5,Zm00001d046554_T004
ROC22_k25_TRINITY_DN13683_c0_g1_i5,Sobic.010G147833.1,NA,Zm00001d046047_T017
ROC22_k25_TRINITY_DN4697_c0_g1_i1,Sobic.005G056600.5,NA,Zm00001d004812_T008
GN18_k31_TRINITY_DN10806_c0_g1_i13,Sobic.001G166900.3,NA,Zm00001d033324_T002
QBYN04-26041_k25_TRINITY_DN1994_c0_g2_i1,Sobic.009G062400.1,NA,Zm00001d039887_T001
B1_k31_TRINITY_DN5_c0_g2_i1,Sobic.005G215400.1,NA,Zm00001d012276_T001
QS99-2014_k31_TRINITY_DN51024_c0_g1_i5,Sobic.001G207200.5,NA,Zm00001d037832_T007
F1-Bulk-2_k25_TRINITY_DN15546_c0_g1_i6,Sobic.009G004700.1,NA,NA
KQB07-24619_k25_TRINITY_DN4526_c0_g1_i5,Sobic.001G045000.1,NA,Zm00001d013030_T002
KQ08-2850_k25_TRINITY_DN1894_c0_g1_i10,Sobic.006G204900.1,NA,Zm00001d002418_T029
MT11-610_k25_TRINITY_DN8855_c0_g1_i2,Sobic.001G043400.1,NA,Zm00001d034581_T003
LCP85-384_k25_TRINITY_DN7436_c0_g1_i7,Sobic.005G004300.3,NA,NA
FN95-1702_k25_TRINITY_DN9249_c0_g1_i6,Sobic.001G375300.1,NA,Zm00001d029118_T004
US851008_k25_TRINITY_DN2895_c0_g1_i2,Sobic.002G260900.2,NA,Zm00001d021090_T001
MT11-610_k25_TRINITY_DN6645_c0_g1_i4,Sobic.006G002400.1,NA,Zm00001d024936_T001
TUC717_k25_TRINITY_DN3465_c0_g1_i5,Sobic.002G399200.2,NA,Zm00001d002418_T045
KQ08-2850_k31_TRINITY_DN2926_c0_g1_i12,Sobic.007G062800.1,NA,Zm00001d024225_T047
Co8021_k25_TRINITY_DN10867_c0_g1_i2,Sobic.009G234200.1,NA,Zm00001d039036_T002
T1_k31_TRINITY_DN7785_c0_g2_i14,Sobic.005G028600.1,NA,Zm00001d004979_T008
LCP85-384_k25_TRINITY_DN13844_c0_g1_i24,Sobic.003G401100.2,NA,Zm00001d012060_T005
